ticket_id,text,priority_label
1001,agent every development say opportunity behavior discussion ago current practice nation determine operation speak according recently future choice whatever,Low
1002,behavior benefit suggest page movie win need stop peace technology,Low
1003,relate animal direction eye bag law street class decide environment view possible participant commercial,High
1004,left establish understand read successful simply director allow firm environment tree note responsibility defense material,Low
1005,central cause seat much section investment young catch management sense technology physical society instead life edge network wall quite,Low
1006,seem shoulder future fall citizen reveal seven medical blood personal success medical current several much single morning food,Low
1007,upon story film water beat magazine attorney campaign little near enter institution,Medium
1008,sense ready require human public health tonight easy ask network detail audience piece director town teacher audience draw democrat car number line six space,Low
1009,best issue interest level art rock song body,Medium
1010,movie cell contain leg space task better present music address unit support coach magazine,Medium
1011,total clearly able hospital unit size recent room situation product main couple often security arm,High
1012,system church whether bag control organization build three east organization people information north first end prove fire enter capital population,Medium
1013,upon act perform none beyond medium car give attention citizen street region particularly would account stage federal professional voice care break,Low
1014,choice example decision garden reach table measure begin interest everybody four capital woman,Critical
1015,necessary act away third tough strong old challenge among half value win together decide economic,Low
1016,sister image per choice upon thing agent say forward soon ten specific environment skin blue,Low
1017,develop staff least figure somebody dinner age foreign ten evidence political hundred former agree theory end oil worker although,Medium
1018,generation skill job worker break tonight job mind southern rather hair attorney professional form finish,High
1019,medical project recent never professor security community notice image fight decision size,Low
1020,let kind degree list top somebody exist professional people behavior pull different current agency,Low
1021,sure authority increase picture create recent manager sing despite sound receive,High
1022,newspaper true building property write wear partner rest interview trade knowledge city technology late seem,High
1023,miss phone ever back even floor music catch discus relationship ask imagine,Medium
1024,deal information toward accept goal send table well industry,Low
1025,today major event magazine home protect something right wonder move trade option base investment term anyone deep force,High
1026,sell story edge bank affect glass practice senior wear current perform draw list,High
1027,way let eight hard paper white responsibility blue agent find quality walk cup option store drug recent,Medium
1028,south someone american mouth product attention positive state black whether player stock religious,Medium
1029,safe whole establish space let stay focus early various everything let particular agreement surface consider great election evidence,Low
1030,might course drop new drive live republican large admit family reality fill ok list international former reflect even edge building court build,Low
1031,course school everybody operation executive beyond create dinner conference add move ever network recently call bill activity expect long future whole education,High
1032,state husband available picture chance none fight yes,Medium
1033,share paper difficult mission late kind figure perform participant science way debate enough ball dream necessary choose late order fact discus religious reflect author enough social operation sound cup,Medium
1034,different chance enter central arrive society organization keep light fight evening management ball always focus economy onto share start office several compare,Low
1035,trouble consider one play man four prove tax form really explain spend nearly lawyer fire follow wife ten stay ability thank left approach,Low
1036,performance material kind appear environment capital thing machine ahead picture son report nearly need behavior yeah tree,Low
1037,positive child usually factor strong woman necessary two second carry attorney significant take future skin,High
1038,executive fear land machine forward several lay focus country recently occur analysis seat relate specific history professional,Low
1039,manager already maybe opportunity treat address century wide light wide full realize,High
1040,system system teacher responsibility service along attention piece tv young better plant coach federal ahead food argue grow,Low
1041,include radio conference participant raise marriage central leave effect effort act source top quality,Critical
1042,kid generation onto police lead table blood occur offer yeah far within probably account ten sing wind treat,High
1043,simply discover soon despite couple pick tough position final almost half capital travel force indeed,Low
1044,skill theory hand maybe either station loss southern sound life away senior difficult put,Medium
1045,hand add mr lawyer pull public state wait board doctor agent foreign particular positive play less red power cause watch fight manage doctor mr home,Low
1046,onto risk pressure street past real describe know talk rate name within,Low
1047,huge couple business summer production politics others call north attention share debate spend similar small,Medium
1048,would music sometimes body address draw food,Medium
1049,appear score moment second live order later develop past road training probably leader article look husband make travel available ball,Medium
1050,assume every plan nature yes law painting reduce result democrat later direction fund law indeed fine fine effort well,Critical
1051,season news form improve wait institution outside goal,Medium
1052,defense prevent difference board suddenly happen several southern suddenly window stand party ago upon stop environment congress reflect finally go consider century price attorney scientist,High
1053,second democrat information game return since nothing apply senior anyone bank kitchen magazine kind event sense box involve,Low
1054,main project animal house account feeling deep face build market issue region matter street south author technology amount,High
1055,tv television office remember individual boy commercial way least ready gun join,Medium
1056,job hundred bad second single baby plan create simply road standard spring door chair culture,Medium
1057,set pretty concern significant senior service large north play person firm key light place someone option goal avoid later arm story baby ten talk past,Medium
1058,leg never social time last special painting may whatever late specific study mean common easy,High
1059,mission city health executive impact full behind question exist rich prevent four old center glass whose recognize hot remember next poor foreign campaign reflect water behavior provide meet adult final week game,Medium
1060,difficult case baby big also short capital heavy class story speak close join improve put know expect doctor dream whole six tough create question,Medium
1061,left example high month stage appear lose represent middle base evening town challenge join stage u increase,High
1062,history bank different five case expert stop receive serve light past town eight strong nature,Low
1063,institution simply business draw police performance student matter movie place drop century investment pas drive indicate professor,Low
1064,window attack moment medical write never hospital player wonder effect ground attack drop billion old series card good full poor store,Critical
1065,place specific simply leader fall analysis firm financial huge list already positive experience television answer pretty,Critical
1066,son join hundred keep wind many marriage mind song bad state nation fly bag fill owner international ready goal,Medium
1067,past police social arm provide message seek civil support question alone attack sing hand note check last know baby case happen fire,High
1068,whether ago control military trial simple region democrat partner really customer career available common require young specific,High
1069,remember nearly face feel church remember meeting building cut catch ago occur level work candidate assume huge,Medium
1070,improve important offer first avoid letter campaign stop necessary onto treat area buy check clearly follow remember way million exist bad cultural,Medium
1071,person pas behavior political child probably result painting successful stay agreement side enough short indicate police marriage phone politics southern image,Medium
1072,read citizen indeed less century technology floor write generation human set middle five letter environment easy anything war ten industry,Critical
1073,value return couple city level age war measure democrat good anything successful pull experience account blue care,Medium
1074,shake hand hundred crime network mean share evidence writer quite budget hour fund voice,Low
1075,husband american although require lead paper middle foreign party class wrong order medical meeting majority none staff happy purpose woman someone rise,High
1076,others enter pretty dinner anything lose modern return simple way body affect finish include data maybe particularly save artist catch debate foot production,Low
1077,finish community treatment garden great sign machine whatever everything fear walk word side relate first give value somebody event business quality,High
1078,stand west source fact explain research pretty section degree still even case past drug prove difficult beyond form line race case,Low
1079,imagine various local fly position traditional become school sure also tv individual study value,High
1080,small control see face also owner friend lawyer political modern threat surface life cover,High
1081,possible responsibility add front far purpose cover still middle beautiful protect continue cell according land environment form reveal activity president realize artist brother fill type thousand show real police wait happen,Medium
1082,whatever long lawyer writer health serious soon stay seven quite skin land region back article natural measure mr clearly take kind quite response major,Low
1083,speak law message lead around left southern effort able design authority interest red,High
1084,various attorney value shoulder within position hear large true help bag card team budget year hotel camera without,Critical
1085,without leg rest discover leave choice country special information drive attack order,High
1086,public analysis keep music senior simply year doctor trouble office officer significant stand century produce determine feel,High
1087,treatment personal interview many win five indicate chance heavy senior list support tax certain leg arm include newspaper care drug data position two,Critical
1088,movie stop appear help always authority source onto provide describe decade trade whatever address view bring trial receive region however dream focus executive move grow end mention market better wonder,Medium
1089,trial including none determine certainly various often individual charge form street nearly want front shake major rich science,Medium
1090,run goal cause national wrong whatever model stuff avoid stand include successful discus,Low
1091,despite lay art process administration mother admit reveal movie admit spend purpose south travel truth modern drive people spring environment however health image,Low
1092,wrong difficult range summer president help live pm,Low
1093,matter six try discover top realize note even tonight allow fire,Low
1094,certain star start federal note support science ready bad seat approach join stuff future shoulder western plant situation late direction,Low
1095,quickly produce beat peace something environmental six child first blood accept final growth especially,High
1096,cost large never impact government behavior foot,Medium
1097,factor hold occur college catch feeling certainly cold every feel site guess want many pattern leader career according success,Medium
1098,friend spring teacher wind carry fly fire fact reason make office exactly skill half usually,Medium
1099,young conference agree road wall decide something pull cause field education child institution available wrong look husband medium turn,Medium
1100,already reduce speech order trial body coach partner none population position whole involve action else member million,High
1101,determine hear leg quickly real character young far turn beat story give gas six miss live recent five feel special,Low
1102,support possible quality might necessary former interview left picture control price scene third,Medium
1103,involve democrat everything region somebody officer son hand culture box provide month police others particularly girl suddenly common purpose song try opportunity public finish draw,Medium
1104,health center home others institution main mr try u community majority cell fire late tend weight machine,High
1105,white measure manager range indeed style bar air set factor different eye sit significant near box simple statement happen state,Medium
1106,national wrong bill stop seem fear enjoy television beautiful tend bring speech decide,Low
1107,technology particular pattern size spend go exactly much food region eye environment world quickly believe size try yeah,High
1108,reduce car chair focus majority officer environmental increase later plant idea seek reason theory,Low
1109,force able similar run room learn professional somebody huge station environmental stock front official magazine gas animal phone student,Medium
1110,upon citizen lead yeah yet travel think behavior growth bar professor power figure record,Medium
1111,pretty region ability live car difficult account gas building really local director become south billion thing case similar send card year,Medium
1112,across practice key security turn pattern kind describe cause goal investment social easy popular easy,Medium
1113,return expect wait agree suggest day parent far approach today west manager point audience thousand activity guess first hit,Low
1114,half raise several west side admit energy always art medium pick may indeed reduce bar,High
1115,pattern everyone finally memory data space movie plant strong race recognize role suffer around break partner area budget remain reduce clearly,Critical
1116,military state else head seek run friend investment model republican office baby lawyer growth,Low
1117,cold church significant thus purpose boy scientist teach activity animal,Medium
1118,turn condition whether along sort research focus indicate result even back budget pull apply development middle animal attention let executive suddenly force network,Critical
1119,customer fight performance less option run national somebody character usually get style week ability price,Medium
1120,day work information behavior tv today mind red learn security oil measure pm hour,Low
1121,artist production candidate factor surface unit hotel laugh want carry show board clearly letter image movie later leg system bed space,Low
1122,american structure foreign eat green message quality identify laugh security behind big soldier building article,Medium
1123,cup hundred rather visit true avoid young cup position speak begin business walk anything item right,Low
1124,interview government evidence third alone people early material third look,Low
1125,poor something eat yes site grow name machine tree maybe,Medium
1126,conference five despite time sing morning short wind beyond prevent entire shake way offer work,Low
1127,yard community door fish scene agreement red way none could write think compare also argue long truth cut candidate response try,Low
1128,true similar whether health walk big wish run join police power company really skin development,Medium
1129,safe family concern hot yes whole allow tv whose,Low
1130,bit many former back get floor player land enter economic attack either blue answer information,Low
1131,manage national big look tell later son almost weight avoid color heart rule,Low
1132,full world throw relate parent approach former important never understand music produce anyone occur style child,Medium
1133,far product current agent color factor bank final likely thus enter politics hold hard knowledge enjoy let difficult environmental character recent benefit property,Medium
1134,wife operation network subject stand industry dog federal house take alone number song quality per build serious common worker speak call interest write,Low
1135,street election treat trial hold however everybody true actually red onto site change,Low
1136,old beyond black single size test magazine participant also every peace race real little environmental head full,Medium
1137,exactly man receive better wind kitchen stay especially indicate could deep station scientist,Medium
1138,start middle city find medical career ahead cover strategy student economic lead truth ever statement measure play buy drop major land,Critical
1139,necessary general study else store bed agree anyone tax positive question especially important ten whose radio treatment positive across education source figure,Medium
1140,interest heavy give edge level however bill memory production successful hear positive participant range loss everybody foot end represent throughout federal change,Low
1141,south sort outside produce pretty young else identify say yes staff gas,Low
1142,point little wait grow feel color price family likely scientist rise several consumer quite friend become great season inside thought one less,Medium
1143,approach plant oil per line create build fear approach take case customer important notice century television congress ball forward would finish event seven collection,Low
1144,size sister investment investment local move room wear,Critical
1145,course quality phone eat really general open cold statement fear fact road others rather card majority seek way truth idea direction,Low
1146,safe operation college hand practice theory eight movement yes product,Medium
1147,answer break know education reduce day rate act inside big establish paper case store bit responsibility brother,Critical
1148,marriage participant sing story region far always many debate value doctor actually become book management,High
1149,avoid rich toward popular lead enough spend system growth,Low
1150,school believe serve animal system professional group perform behavior spring box hundred lead structure,High
1151,power someone receive around wall indeed opportunity soon question particularly single particularly television,Medium
1152,turn animal energy fire relate rich difference mind read peace product eat generation put stuff throughout party activity various measure light many,Low
1153,seem fly former everything nearly stage bad know large task language budget market president bill along near stay social white point,Low
1154,deal public wear guy approach development lawyer outside respond guy laugh best probably able great natural hear blood manage blood particularly could u hotel lead,Critical
1155,blue increase unit study open sign probably care material morning lot meet tv concern official room campaign hold paper focus thing industry participant realize eat huge,Low
1156,laugh card include record security team republican plan cut person fact tv car report window concern,High
1157,report set old wall report institution actually blood prove customer seek worker raise chair artist,Low
1158,send allow sport bill test score night six sometimes realize another high indicate small whole approach season data team,Low
1159,treatment relate positive sense national simply family concern radio budget american news candidate effort form always others similar,Low
1160,successful feeling nearly authority remain moment whatever skill city idea determine degree forward guess despite sell little sell power boy generation drive,Medium
1161,truth always high someone box either treat state heart knowledge analysis together court message way cold,Critical
1162,account assume prove similar ten interest billion position vote section child learn forward available concern edge audience treat imagine later identify first,Low
1163,movement political peace series red authority face rate paper example high state air choose detail section far plant fear thought whole term possible,High
1164,center among hour natural deep town surface central contain pattern create consider son system surface,Low
1165,popular available public economy culture oil week provide doctor expect attorney fish late pattern figure note space collection finish size republican,Medium
1166,everybody growth quickly former lose knowledge necessary compare parent success teach cause mr safe phone road throughout support,Low
1167,spend often shoulder necessary president chance hotel operation tax card,Medium
1168,bed hair action draw word range land condition process save low grow despite discussion enough doctor protect military social hold,Medium
1169,always possible billion strong enjoy name community president onto together back edge win development good test main lot page maybe,Low
1170,close baby poor deep cost gun increase form box push look claim street amount claim picture always,Medium
1171,argue election conference point road start water describe paper test color store star consider enough right garden law opportunity discover history admit mission training range,Medium
1172,benefit live pas although six brother lot much ability visit question issue inside recently director sort smile high open scientist,Medium
1173,international effort travel election accept season official brother according,Medium
1174,reach firm gun choice prepare talk interest hand every quite including six lot never,High
1175,officer similar huge catch tell land record class democrat hundred song pas range appear home player,Medium
1176,likely outside enjoy participant right u husband expert white arm similar compare manager action experience almost outside middle discus college already,Medium
1177,wish beautiful every prove customer address region try expect stop trip give white everybody paper lawyer identify company medium,High
1178,future bring message spend offer reason none show serious race television loss election small,Critical
1179,son include good movie red expert human see garden never live government thus especially,Critical
1180,say dog drug enter director strong student single build bad pas share must amount lot per manage make worker trouble exactly develop office,High
1181,son long must maybe hour rather company least ready activity decision ok foot party cost enjoy especially gas,High
1182,interest industry sell half hundred late number sport result sound new task certainly change south computer care throw piece move firm main economy,Low
1183,huge real art stuff benefit seat employee growth newspaper special building test white current office,High
1184,company sister great pull maintain say threat expert place certain cold space front piece occur bad gas finish president painting house thought sit voice,High
1185,whole including contain age road product wait cold billion nature side model,Low
1186,peace base use hope director phone capital stuff agreement professional team ten level various nature career,Medium
1187,opportunity lead see theory policy move training loss dinner become film employee field spring summer gas movement reach man sense federal something,High
1188,someone nature country think join resource position stock determine instead dream share travel,Low
1189,possible mother especially could attention book lay laugh red man affect anyone movement control bill especially,Medium
1190,character management find son less social form argue simply author like time economic high actually window,Low
1191,side kitchen scene almost leave side list race fine follow pick seat near business police cup thought tell design plan,Medium
1192,cold everybody build ok real choice side eat matter rather full wide service,High
1193,green child movie blue first next popular girl help right economy always next majority note food,Medium
1194,test team civil standard must law simply medium third people hair per return probably much hold model marriage,Medium
1195,party follow political book analysis visit condition magazine better number student moment red eight hand paper audience u,Medium
1196,story life police guess sea three statement entire american audience back democratic mind big discus country moment eat personal condition see,Low
1197,short office purpose reflect coach congress husband front move outside value total yard foot share issue rise part,Low
1198,degree unit effect language however military year feel,Low
1199,talk state ready every news unit choice also green catch happen economic eight feel notice design baby foot common stay ready office traditional organization feel,Medium
1200,bad argue side girl stage indicate section support plant place fight american music,Medium
